source_system,source_column,target_list,target_column,transform,required,notes
myadultdaycare.com,BillingID,BillingRecords,SourceSystemId,trim,yes,
myadultdaycare.com,ClientID,BillingRecords,ClientNumber,lookup_clientnumber,yes,
myadultdaycare.com,ServiceDate,BillingRecords,ServiceDate,date_iso,yes,
myadultdaycare.com,PeriodStart,BillingRecords,BillingPeriodStart,date_iso,no,
myadultdaycare.com,PeriodEnd,BillingRecords,BillingPeriodEnd,date_iso,no,
myadultdaycare.com,Payor,BillingRecords,Payer,map_payer_lookup,no,
myadultdaycare.com,ServiceCode,BillingRecords,ServiceCode,trim,no,
myadultdaycare.com,Units,BillingRecords,Units,number,no,
myadultdaycare.com,Rate,BillingRecords,UnitRate,currency,no,
myadultdaycare.com,Amount,BillingRecords,Amount,currency,yes,
myadultdaycare.com,Status,BillingRecords,Status,map_billing_status,yes,Draft|Ready|Submitted|Paid|Denied|Adjusted
myadultdaycare.com,ClaimNumber,BillingRecords,ClaimNumber,trim,no,
myadultdaycare.com,DenialReason,BillingRecords,DenialReason,trim,no,
myadultdaycare.com,PaidDate,BillingRecords,PaidDate,date_iso,no,
myadultdaycare.com,PaidAmount,BillingRecords,PaidAmount,currency,no,
myadultdaycare.com,Location,BillingRecords,Center,map_center_lookup,no,
myadultdaycare.com,Notes,BillingRecords,Notes,trim,no,
